Cluster_Sets,Clustering_Distance,TPs,FPs,FNs
"['cluster_33', 'cluster_42', 'cluster_36', 'cluster_35', 'cluster_46', 'cluster_37', 'cluster_47', 'cluster_40', 'cluster_48', 'cluster_39', 'cluster_43']",distance_0.1,[],"['T1102.002', 'T1056.001', 'T1106', 'T1027.002', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001']",[]
"['cluster_22', 'cluster_24', 'cluster_23', 'cluster_27']",distance_0.2,[],"['T1102.002', 'T1059', 'T1071.001', 'T1059.001', 'T1132.001', 'T1518.001', 'T1071.004', 'T1027.005', 'T1036', 'T1095', 'T1105', 'T1547.001', 'T1203', 'T1140', 'T1059.007', 'T1204.002', 'T1106', 'T1027.002', 'T1047', 'T1027.001', 'T1070.004', 'T1564.003', 'T1204.001', 'T1218.011', 'T1059.005', 'T1053.003', 'T1569.002', 'T1189', 'T1566.001', 'T1053.005', 'T1070.006', 'T1113', 'T1115', 'T1566.002', 'T1560.001', 'T1486']",['T1119']
"['cluster_21', 'cluster_24', 'cluster_23', 'cluster_27', 'cluster_41', 'cluster_25']",distance_0.2,[],"['T1102.002', 'T1059', 'T1204.002', 'T1056.001', 'T1547.001', 'T1588.002', 'T1071.001', 'T1059.007', 'T1189', 'T1566.001', 'T1036', 'T1105', 'T1518.001', 'T1140', 'T1059.005', 'T1203', 'T1555.003', 'T1027.005', 'T1132.001', 'T1027.001', 'T1548', 'T1566']",[]
"['cluster_21', 'cluster_24', 'cluster_23', 'cluster_27', 'cluster_25']",distance_0.2,[],"['T1102.002', 'T1059', 'T1056.001', 'T1547.001', 'T1106', 'T1027.002', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001', 'T1071.001', 'T1113', 'T1115', 'T1140', 'T1189', 'T1555.003', 'T1588.002', 'T1204.002', 'T1566.001', 'T1105', 'T1059.005', 'T1518.001', 'T1047', 'T1027.005', 'T1132.001', 'T1095', 'T1560.001', 'T1027.001', 'T1070.004', 'T1070.006', 'T1218.011', 'T1569.002', 'T1070.001']","['T1552.001', 'T1543.003']"
"['cluster_21', 'cluster_24', 'cluster_23', 'cluster_27']",distance_0.2,[],"['T1059', 'T1071.001', 'T1204.002', 'T1132.001', 'T1027.005', 'T1105', 'T1140', 'T1059.007', 'T1218.011', 'T1036', 'T1203', 'T1204.001', 'T1189', 'T1059.005', 'T1059.001', 'T1106', 'T1027.001', 'T1027.002', 'T1070.006', 'T1102.002', 'T1518.001', 'T1070.004', 'T1095', 'T1071.004', 'T1115', 'T1588.002', 'T1566.001', 'T1485', 'T1047', 'T1569.002', 'T1560.001', 'T1564.003', 'T1070.001', 'T1566.002', 'T1566', 'T1055']",['T1036.004']
"['cluster_21', 'cluster_24', 'cluster_23']",distance_0.2,[],"['T1102.002', 'T1059', 'T1071.001', 'T1189', 'T1566']",[]
"['cluster_21', 'cluster_22', 'cluster_23', 'cluster_27', 'cluster_26', 'cluster_41']",distance_0.2,[],"['T1071.001', 'T1106', 'T1132.001', 'T1027.002', 'T1529', 'T1047', 'T1071.004', 'T1561.002', 'T1027.005', 'T1036', 'T1113', 'T1095', 'T1518.001', 'T1115', 'T1588.002', 'T1564.003']",[]
"['cluster_21', 'cluster_22', 'cluster_27']",distance_0.2,[],"['T1095', 'T1105', 'T1027.005', 'T1070.004', 'T1047', 'T1071.004', 'T1113', 'T1518.001', 'T1059.001', 'T1547.001', 'T1027.002', 'T1140', 'T1564.003', 'T1588.002', 'T1106', 'T1115', 'T1036', 'T1569.002', 'T1560.001', 'T1132.001', 'T1485', 'T1070.001', 'T1486', 'T1518']","['T1547.009', 'T1056', 'T1589', 'T1083']"
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_23', 'cluster_35', 'cluster_47', 'cluster_49']",distance_0.2,[],"['T1071.001', 'T1132.001', 'T1113', 'T1095', 'T1518.001', 'T1105', 'T1027.001', 'T1115', 'T1552.001']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_23', 'cluster_41', 'cluster_49']",distance_0.2,[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1071.004', 'T1113', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1203', 'T1140', 'T1027.005', 'T1059', 'T1059.007', 'T1564.003', 'T1204.001', 'T1070.006', 'T1569.002', 'T1070.001', 'T1566.001']",[]
