Cluster_Sets,Clustering_Distance,TPs,FPs,FNs
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_89', 'cluster_84', 'cluster_76', 'cluster_77', 'cluster_94', 'cluster_207']",distance_0,[],"['T1518', 'T1203', 'T1055', 'T1529']",['T1499']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_47', 'cluster_46', 'cluster_44', 'cluster_91', 'cluster_90']",distance_0.1,[],"['T1518', 'T1203', 'T1055', 'T1529']",['T1499']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_47', 'cluster_44', 'cluster_91']",distance_0.1,[],"['T1518', 'T1203', 'T1055', 'T1529']",['T1499']
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_26', 'cluster_52', 'cluster_51']",distance_0.2,[],"['T1518', 'T1203', 'T1055', 'T1529']",['T1499']
"['cluster_60', 'cluster_61', 'cluster_113', 'cluster_81', 'cluster_3', 'cluster_114', 'cluster_2', 'cluster_20', 'cluster_13', 'cluster_12', 'cluster_14', 'cluster_15', 'cluster_16', 'cluster_17', 'cluster_10', 'cluster_7', 'cluster_9', 'cluster_8', 'cluster_11', 'cluster_19']",distance_0,[],"['T1518', 'T1083', 'T1016', 'T1007']",['T1078']
"['cluster_33', 'cluster_34', 'cluster_50', 'cluster_46', 'cluster_2', 'cluster_1', 'cluster_5']",distance_0.1,[],"['T1518', 'T1083', 'T1016', 'T1007']",['T1078']
"['cluster_113', 'cluster_114', 'cluster_14', 'cluster_16']",distance_0,[],[],['T1078']
"['cluster_50', 'cluster_5']",distance_0.1,[],[],['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_113', 'cluster_72', 'cluster_81', 'cluster_83', 'cluster_89', 'cluster_124', 'cluster_82', 'cluster_99', 'cluster_90', 'cluster_114', 'cluster_84', 'cluster_100', 'cluster_85', 'cluster_130', 'cluster_76', 'cluster_103', 'cluster_101', 'cluster_102', 'cluster_80']",distance_0,[],"['T1518', 'T1059', 'T1055', 'T1529']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_113', 'cluster_72', 'cluster_81', 'cluster_83', 'cluster_124', 'cluster_82', 'cluster_99', 'cluster_90', 'cluster_114', 'cluster_84', 'cluster_100', 'cluster_85', 'cluster_130', 'cluster_76', 'cluster_109', 'cluster_103', 'cluster_104', 'cluster_101', 'cluster_80']",distance_0,[],"['T1518', 'T1059', 'T1055', 'T1529']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_113', 'cluster_72', 'cluster_124', 'cluster_82', 'cluster_99', 'cluster_114', 'cluster_84', 'cluster_100', 'cluster_130', 'cluster_76', 'cluster_103', 'cluster_101', 'cluster_80']",distance_0,[],"['T1518', 'T1059', 'T1055', 'T1529']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_113', 'cluster_72', 'cluster_124', 'cluster_99', 'cluster_114', 'cluster_100', 'cluster_130', 'cluster_76', 'cluster_103', 'cluster_80']",distance_0,[],"['T1518', 'T1059', 'T1529']",['T1078']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_46', 'cluster_59', 'cluster_44', 'cluster_91']",distance_0.1,[],"['T1518', 'T1203']",['T1499']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_41', 'cluster_35', 'cluster_36', 'cluster_46', 'cluster_47', 'cluster_37', 'cluster_2', 'cluster_40', 'cluster_38', 'cluster_59', 'cluster_1', 'cluster_48', 'cluster_61']",distance_0.1,[],"['T1518', 'T1203', 'T1059', 'T1189']",['T1499']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_41', 'cluster_35', 'cluster_36', 'cluster_46', 'cluster_47', 'cluster_37', 'cluster_2', 'cluster_40', 'cluster_54', 'cluster_38', 'cluster_59', 'cluster_1', 'cluster_48', 'cluster_61']",distance_0.1,[],"['T1518', 'T1203', 'T1059', 'T1189']",['T1499']
